"income_band","inc_low","inc_high","inc_mid","age_band","age_band_key","members","pp3","pp4","pp6","pp8","pp10","ppn"
"$158,001 - $159,000",158001,159000,158500.5,"65+","ks_65p",120.288637314715,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$159,001 - $160,000",159001,160000,159500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$159,001 - $160,000",159001,160000,159500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$159,001 - $160,000",159001,160000,159500.5,"18-24","ks_18_24",8.59486210936817,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$159,001 - $160,000",159001,160000,159500.5,"25-34","ks_25_34",411.925460100902,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$159,001 - $160,000",159001,160000,159500.5,"35-44","ks_35_44",993.381077086628,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$159,001 - $160,000",159001,160000,159500.5,"45-54","ks_45_54",880.711633160154,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$159,001 - $160,000",159001,160000,159500.5,"55-64","ks_55_64",714.076037898915,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$159,001 - $160,000",159001,160000,159500.5,"65+","ks_65p",109.828755809088,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$160,001 - $161,000",160001,161000,160500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$160,001 - $161,000",160001,161000,160500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$160,001 - $161,000",160001,161000,160500.5,"18-24","ks_18_24",8.59486210936817,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$160,001 - $161,000",160001,161000,160500.5,"25-34","ks_25_34",411.925460100902,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$160,001 - $161,000",160001,161000,160500.5,"35-44","ks_35_44",1079.34674721913,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$160,001 - $161,000",160001,161000,160500.5,"45-54","ks_45_54",960.776327083804,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$160,001 - $161,000",160001,161000,160500.5,"55-64","ks_55_64",731.282689414551,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$160,001 - $161,000",160001,161000,160500.5,"65+","ks_65p",112.443726185494,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$161,001 - $162,000",161001,162000,161500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$161,001 - $162,000",161001,162000,161500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$161,001 - $162,000",161001,162000,161500.5,"18-24","ks_18_24",8.59486210936817,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$161,001 - $162,000",161001,162000,161500.5,"25-34","ks_25_34",385.632345626377,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$161,001 - $162,000",161001,162000,161500.5,"35-44","ks_35_44",936.070630331631,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$161,001 - $162,000",161001,162000,161500.5,"45-54","ks_45_54",960.776327083804,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$161,001 - $162,000",161001,162000,161500.5,"55-64","ks_55_64",679.662734867642,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$161,001 - $162,000",161001,162000,161500.5,"65+","ks_65p",109.828755809088,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$162,001 - $163,000",162001,163000,162500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$162,001 - $163,000",162001,163000,162500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$162,001 - $163,000",162001,163000,162500.5,"18-24","ks_18_24",8.59486210936817,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$162,001 - $163,000",162001,163000,162500.5,"25-34","ks_25_34",359.339231151851,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$162,001 - $163,000",162001,163000,162500.5,"35-44","ks_35_44",945.622371457464,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$162,001 - $163,000",162001,163000,162500.5,"45-54","ks_45_54",889.607710262781,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$162,001 - $163,000",162001,163000,162500.5,"55-64","ks_55_64",645.249431836369,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$162,001 - $163,000",162001,163000,162500.5,"65+","ks_65p",107.213785432681,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$163,001 - $164,000",163001,164000,163500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$163,001 - $164,000",163001,164000,163500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$163,001 - $164,000",163001,164000,163500.5,"18-24","ks_18_24",8.59486210936817,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$163,001 - $164,000",163001,164000,163500.5,"25-34","ks_25_34",333.046116677325,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$163,001 - $164,000",163001,164000,163500.5,"35-44","ks_35_44",936.070630331631,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$163,001 - $164,000",163001,164000,163500.5,"45-54","ks_45_54",854.02340185227,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$163,001 - $164,000",163001,164000,163500.5,"55-64","ks_55_64",679.662734867642,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$163,001 - $164,000",163001,164000,163500.5,"65+","ks_65p",115.058696561901,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$164,001 - $165,000",164001,165000,164500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$164,001 - $165,000",164001,165000,164500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$164,001 - $165,000",164001,165000,164500.5,"18-24","ks_18_24",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$164,001 - $165,000",164001,165000,164500.5,"25-34","ks_25_34",341.810488168834,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$164,001 - $165,000",164001,165000,164500.5,"35-44","ks_35_44",878.760183576633,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$164,001 - $165,000",164001,165000,164500.5,"45-54","ks_45_54",845.127324749642,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$164,001 - $165,000",164001,165000,164500.5,"55-64","ks_55_64",653.852757594187,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$164,001 - $165,000",164001,165000,164500.5,"65+","ks_65p",96.7539039270533,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$165,001 - $166,000",165001,166000,165500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$165,001 - $166,000",165001,166000,165500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$165,001 - $166,000",165001,166000,165500.5,"18-24","ks_18_24",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$165,001 - $166,000",165001,166000,165500.5,"25-34","ks_25_34",368.10360264336,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$165,001 - $166,000",165001,166000,165500.5,"35-44","ks_35_44",907.415406954132,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$165,001 - $166,000",165001,166000,165500.5,"45-54","ks_45_54",916.295941570665,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$165,001 - $166,000",165001,166000,165500.5,"55-64","ks_55_64",653.852757594187,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$165,001 - $166,000",165001,166000,165500.5,"65+","ks_65p",99.3688743034601,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$166,001 - $167,000",166001,167000,166500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$166,001 - $167,000",166001,167000,166500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$166,001 - $167,000",166001,167000,166500.5,"18-24","ks_18_24",8.59486210936817,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$166,001 - $167,000",166001,167000,166500.5,"25-34","ks_25_34",315.517373694308,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$166,001 - $167,000",166001,167000,166500.5,"35-44","ks_35_44",878.760183576633,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
